Image Name,series length 1,series length 2,series length 3,series length 4,series length 5,series length 6,series length 7,series length 8,series length 9,series length 10,series length 11,series length 12,with message
Image00001.tif,63614.0,31872.0,15967.0,8265.0,4261.0,2216.0,1136.0,603.0,326.0,138.0,82.0,52.0,1.0
Image00002.tif,56844.0,27687.0,14271.0,7406.0,3956.0,2240.0,1333.0,732.0,467.0,303.0,202.0,178.0,1.0
Image00003.tif,55111.0,26858.0,13791.0,7278.0,3756.0,2102.0,1181.0,740.0,490.0,323.0,232.0,180.0,1.0
Image00004.tif,57155.0,27668.0,13996.0,7084.0,3644.0,2019.0,1123.0,698.0,384.0,299.0,222.0,162.0,1.0
Image00005.tif,64905.0,32599.0,16446.0,8249.0,4125.0,2051.0,960.0,511.0,274.0,152.0,81.0,42.0,1.0
Image00006.tif,58236.0,27825.0,14166.0,7147.0,3588.0,1936.0,1078.0,618.0,372.0,283.0,207.0,142.0,1.0
Image00007.tif,62860.0,31887.0,16248.0,8303.0,4307.0,2138.0,1163.0,594.0,289.0,147.0,86.0,37.0,1.0
Image00008.tif,56935.0,27218.0,13489.0,6996.0,3647.0,2004.0,1086.0,606.0,421.0,323.0,219.0,192.0,1.0
Image00009.tif,61067.0,30130.0,15277.0,7736.0,4078.0,2160.0,1176.0,660.0,430.0,248.0,155.0,110.0,1.0
Image00010.tif,60721.0,30649.0,15645.0,8316.0,4366.0,2350.0,1291.0,722.0,401.0,213.0,120.0,77.0,1.0
Image00011.tif,60658.0,30862.0,15741.0,7984.0,4422.0,2381.0,1188.0,706.0,376.0,218.0,145.0,81.0,1.0
Image00012.tif,64560.0,32109.0,15973.0,8087.0,4185.0,1989.0,1059.0,521.0,261.0,140.0,90.0,56.0,1.0
Image00013.tif,54999.0,26869.0,14127.0,7580.0,4233.0,2299.0,1375.0,801.0,543.0,342.0,212.0,172.0,1.0
Image00014.tif,60270.0,30555.0,16002.0,8334.0,4424.0,2320.0,1276.0,661.0,376.0,224.0,122.0,65.0,1.0
Image00015.tif,58793.0,29346.0,15380.0,8076.0,4399.0,2386.0,1311.0,769.0,491.0,267.0,192.0,123.0,1.0
Image00016.tif,62888.0,31980.0,15973.0,8461.0,4244.0,2209.0,1137.0,569.0,310.0,168.0,78.0,43.0,1.0
Image00017.tif,64466.0,32318.0,16526.0,8173.0,4015.0,2114.0,1057.0,556.0,261.0,153.0,68.0,42.0,1.0
Image00018.tif,58556.0,28711.0,14868.0,7593.0,3882.0,2044.0,1207.0,699.0,412.0,274.0,200.0,166.0,1.0
Image00019.tif,62977.0,31201.0,15870.0,8157.0,4116.0,2062.0,1158.0,626.0,344.0,175.0,127.0,68.0,1.0
Image00020.tif,56286.0,26944.0,13501.0,7029.0,3625.0,1984.0,1103.0,711.0,477.0,326.0,234.0,178.0,1.0
Image00021.tif,63749.0,32147.0,16133.0,8273.0,4223.0,2139.0,1110.0,560.0,316.0,158.0,77.0,40.0,1.0
Image00022.tif,60377.0,29975.0,15396.0,7956.0,4259.0,2358.0,1294.0,716.0,424.0,259.0,165.0,121.0,1.0
Image00023.tif,55200.0,27725.0,14762.0,8102.0,4523.0,2660.0,1488.0,867.0,523.0,346.0,247.0,170.0,1.0
Image00024.tif,60839.0,31074.0,15894.0,8285.0,4415.0,2413.0,1168.0,675.0,348.0,205.0,108.0,63.0,1.0
Image00025.tif,60690.0,30720.0,15905.0,8085.0,4414.0,2343.0,1299.0,744.0,371.0,223.0,110.0,52.0,1.0
Image00026.tif,56868.0,26836.0,13556.0,6958.0,3692.0,1926.0,1141.0,713.0,428.0,297.0,226.0,175.0,1.0
Image00027.tif,58004.0,29092.0,14872.0,8050.0,4317.0,2448.0,1419.0,790.0,497.0,288.0,226.0,134.0,1.0
Image00028.tif,62626.0,31517.0,15919.0,8247.0,4353.0,2307.0,1151.0,616.0,305.0,174.0,106.0,49.0,1.0
Image00029.tif,62860.0,31769.0,16086.0,8384.0,4389.0,2179.0,1117.0,638.0,286.0,153.0,75.0,38.0,1.0
Image00030.tif,63269.0,31887.0,16041.0,8408.0,4262.0,2084.0,1133.0,617.0,307.0,169.0,102.0,41.0,1.0
