image_name,sl_1,sl_2,sl_3,sl_4,sl_5,sl_6,sl_7,sl_8,sl_9,sl_10,sl_11,sl_12,target
Image00429.tif,65173.0,32777.0,16408.0,8308.0,4033.0,1991.0,1085.0,523.0,276.0,118.0,59.0,37.0,1.0
Image00401.tif,64602.0,30993.0,15566.0,8166.0,4133.0,2242.0,1166.0,642.0,301.0,178.0,100.0,70.0,1.0
Image00367.tif,64819.0,32625.0,16221.0,8236.0,4050.0,2129.0,1035.0,506.0,281.0,148.0,95.0,44.0,1.0
Image00373.tif,62336.0,31604.0,16272.0,8468.0,4220.0,2183.0,1127.0,605.0,317.0,168.0,99.0,44.0,1.0
Image00415.tif,61511.0,30416.0,15609.0,8349.0,4333.0,2337.0,1252.0,702.0,398.0,228.0,146.0,77.0,1.0
Image00398.tif,63277.0,31423.0,15860.0,7933.0,4179.0,2099.0,1096.0,631.0,364.0,211.0,110.0,78.0,1.0
Image00159.tif,60049.0,29852.0,15548.0,8025.0,4285.0,2413.0,1366.0,751.0,479.0,265.0,139.0,96.0,1.0
Image00165.tif,63622.0,32324.0,15977.0,8141.0,4186.0,2214.0,1068.0,581.0,332.0,165.0,101.0,51.0,1.0
Image00603.tif,65011.0,32685.0,16410.0,8080.0,4084.0,2131.0,992.0,563.0,258.0,145.0,89.0,33.0,1.0
Image00617.tif,64880.0,32426.0,16494.0,8195.0,4131.0,2126.0,1056.0,536.0,264.0,117.0,67.0,27.0,1.0
Image00171.tif,64288.0,32634.0,16436.0,8452.0,3992.0,2110.0,1033.0,509.0,263.0,145.0,71.0,41.0,1.0
Image00824.tif,59500.0,29724.0,14639.0,7864.0,4309.0,2384.0,1306.0,808.0,443.0,290.0,212.0,135.0,1.0
Image00830.tif,59718.0,29624.0,14940.0,7864.0,4390.0,2364.0,1377.0,815.0,507.0,284.0,178.0,132.0,1.0
Image00818.tif,56873.0,28542.0,15052.0,8268.0,4418.0,2486.0,1475.0,842.0,529.0,313.0,206.0,141.0,1.0
Image00993.tif,54754.0,27348.0,13600.0,6994.0,3675.0,1840.0,1053.0,593.0,338.0,232.0,143.0,90.0,1.0
Image00987.tif,48981.0,24877.0,12352.0,6058.0,3105.0,1503.0,825.0,388.0,193.0,106.0,62.0,26.0,1.0
Image00039.tif,62046.0,31217.0,16012.0,8302.0,4344.0,2214.0,1187.0,631.0,333.0,227.0,101.0,51.0,1.0
Image00011.tif,60390.0,30330.0,15216.0,7948.0,4296.0,2294.0,1218.0,746.0,467.0,245.0,143.0,125.0,1.0
Image00777.tif,65242.0,32920.0,16304.0,8156.0,4037.0,2049.0,1079.0,520.0,249.0,145.0,67.0,31.0,1.0
Image00763.tif,65743.0,32574.0,16320.0,8229.0,4141.0,2028.0,1042.0,514.0,277.0,133.0,52.0,24.0,1.0
Image00005.tif,64932.0,32739.0,16334.0,8176.0,4128.0,2084.0,986.0,481.0,293.0,141.0,72.0,47.0,1.0
Image00788.tif,60965.0,30512.0,15533.0,7904.0,3911.0,2056.0,1197.0,662.0,344.0,251.0,136.0,100.0,1.0
Image00950.tif,62605.0,31332.0,15605.0,7889.0,4010.0,2131.0,1120.0,605.0,331.0,220.0,130.0,76.0,1.0
Image00944.tif,57187.0,29045.0,14464.0,7270.0,3520.0,1799.0,887.0,479.0,223.0,106.0,76.0,31.0,1.0
Image00978.tif,63113.0,31692.0,15877.0,8224.0,4232.0,2194.0,1135.0,622.0,308.0,215.0,90.0,63.0,1.0
